SYMBOL,Text,Name,Date,Retweets,Tweet Type,Hashtags,Mentions,Media Type,
MSFT,"Microsoft Reports Q3 Earnings Beat, Says Coronavirus Had 'Minimal Net Impact' On Revenue $MSFT https://t.co/gEKnOqSOhU",Benzinga,29/04/2020,0,Tweet,0,0,,
MSFT,"Earnings last night:

$TSLA ? 7%
$MSFT ? 1.80%
$FB ? 8.50%",Stocktwits,30/04/2020,12,Tweet,0,0,,
MSFT,"RT @djtgallagher : Microsoft -&gt; S&amp;P 500's most valued company is now a complex stew of WFH tech that's winning - despite ""sales dynamics."" Also, all those kids sent home from school are apparently popping back into Minecraft. For @WSJheard - https://t.co/AT1ZDfeXhv",WSJ Markets,30/04/2020,0,Retweet,0,1,,
MSFT,Microsoft Analysts On Redmond's Q3 Beat: 'A Core Growth Holding' $MSFT https://t.co/T0F6bfolok,Benzinga,30/04/2020,1,Tweet,0,0,,
MSFT,Heard on the Street: Microsoft’s business diversity proves an advantage in pandemic-driven slump https://t.co/hUElSQg8H6,WSJ Markets,30/04/2020,1,Tweet,0,0,,
MSFT,10 Successful Businesses That Were Started During Economic Downturns $HPQ $H $MSFT $EA $UBER $WORK $PYPL https://t.co/6x7xwucWko,Benzinga,04/05/2020,3,Tweet,0,0,,
MSFT,How Large Option Traders Are Playing Microsoft As Cloud Business Booms $MSFT https://t.co/O4CCgPqxCN,Benzinga,05/05/2020,0,Tweet,0,0,,
MSFT,"RT @IBD_ECarson : Online giant MercadoLibre skyrockets late, futures rise after six stocks clear buy points https://t.co/tvHCO0uZTN $MELI $MSFT $SHOP $ADBE $NOW $PYPL $CHGG $DIS $BYND https://t.co/nG4Bau0Bue",Investors.com,05/05/2020,0,Retweet,0,0,photo,
MSFT,"101 US stocks with market caps above $500 mln have hit 52-week highs since the start of May, and NONE of them are named Microsoft, Apple, Amazon, Alphabet, or Facebook.",Bespoke,08/05/2020,35,Tweet,0,0,,
MSFT,"$MSFT ""This one was dead money for a long time but then its character changed and it became a monster stock."" @mwebster1971 
Finding support at the 21-day line. Though its' falling today, the #IBDLive Team says it's still acting well and you could even add to your position here https://t.co/PSBtM49v28",Investors.com,14/05/2020,2,Tweet,1,1,photo,
MSFT,RT @IBD_ECarson : These 3 Leaderboard stocks reclaimed buy points after strong market rebound https://t.co/AD4bNmZd26 $MSFT $NOW $CMG $CODX $AMAT $KLAC https://t.co/nDWgWk9aL6,Investors.com,14/05/2020,0,Retweet,0,0,photo,
MSFT,Microsoft's $5B Security Segment Approaches $55B Market Opportunity $MSFT https://t.co/hylkD0cjVc,Benzinga,15/05/2020,0,Tweet,0,0,,
MSFT,Survey Says 53% Of Americans 'Always' Wear Pants When Working From Home $ZM $MSFT https://t.co/6FMDiuVHK9,Benzinga,16/05/2020,2,Tweet,0,0,,
MSFT,"RT @IBD_ECarson : Apple, Tesla lead five tech titans near buy points, but do they want to break out? Futures rise as bull market keeps running.
https://t.co/tcgk1Ef0OY $AAPL $NVDA $AMD $TSLA $MSFT $GOOGL https://t.co/0wfLfbDUBF",Investors.com,25/05/2020,0,Retweet,0,0,photo,
MSFT,"RT @IBD_ECarson : Futures jump, S&amp;P 500 index set to test key level; five leading stocks just below buy points  https://t.co/tcgk1DXpqo $AAPL $TSLA $AMD $MSFT $GOOGL $NVDA https://t.co/S20oySlkmW",Investors.com,26/05/2020,0,Retweet,0,0,animated_gif,
MSFT,RT @IBD_ECarson : Dow futures fall amid widespread unrest in U.S. cities; five stocks look to break out decisively https://t.co/rX6FgS3lWb $TSLA $AAPL $MSFT $UNH $DPZ https://t.co/fKIrc5nwA7,Investors.com,31/05/2020,0,Retweet,0,0,photo,
