Symbol,Text,Name,Date,Retweets,Language,Tweet Type,Hashtags,Mentions,Media Type
FB,Tesla $TSLA and Facebook $FB are both set to open higher by 5%+ this morning.  Here's how they have done in the past following prior big gaps higher on earnings: https://t.co/mjQ1JbMQnO,Bespoke,30/04/2020,1,en,Tweet,0,0,
FB,Wall Street Weighs In On Facebook's Big Quarter: Innovation Accelerates Amid Pandemic $FB https://t.co/6LvuWAWSbD,Benzinga,30/04/2020,0,en,Tweet,0,0,
FB,"RT @IBD_ECarson : Check out these five ""Blue Dot"" specials - stocks showing exceptional relative strength in bases. 
https://t.co/nH1kgslI8w $AAPL $NOW $FB $PYPL $DDOG https://t.co/MG3WPvu6R3",Investors.com,03/05/2020,0,en,Retweet,0,0,photo
FB,"RT @IBD_ECarson : Dow futures signal solid losses following Friday's market sell-off.
https://t.co/nH1kgslI8w $AAPL $FB $PYPL $NOW $GILD $DDOG https://t.co/04rIa4C6Ec",Investors.com,03/05/2020,0,en,Retweet,0,0,photo
FB,The deal would come less than two weeks after Facebook said it would pay $5.7 billion for a nearly 10% stake in Jio https://t.co/7ufKvQdnY0,WSJ Markets,04/05/2020,3,en,Tweet,0,0,
FB,"Warren Buffett Says There's No Bubble In FANG Stocks, But He's Still Not Buying $FB $AMZN $NFLX $GOOGL https://t.co/CVipDYTqDv",Benzinga,04/05/2020,3,en,Tweet,0,0,
FB,What usually happens after Facebook $FB breaks out? https://t.co/RCsJ7Xm4aU,Top Breakout Stocks,05/05/2020,0,en,Tweet,0,0,
FB,"A Low-Cost, FAAMNG-Heavy ETF For May $MGK $FB $AAPL $AMZN $MSFT $NFLX $GOOG https://t.co/7XqxDlR4hA",Benzinga,06/05/2020,2,en,Tweet,0,0,
FB,Facebook $FB breakout stats https://t.co/RCsJ7Xm4aU,Top Breakout Stocks,07/05/2020,0,en,Tweet,0,0,
FB,$WEN $FB $PYPL $LYFT $UBER are just a few cos that have seen an improvement in their businesses in second half of April. Encouraging.,Stephanie Link,08/05/2020,3,en,Tweet,0,0,
FB,"$FB building a first stage base here. Is it worth buying or watching right now? 
""It's taken a good couple of years off... This is one that I'm not paying too much attn to right now but I'm keeping it on my watchlist since it's been silent for so long."" @IBD_Irusha 

#IBDLive https://t.co/qfPfbZhgVS",Investors.com,11/05/2020,0,en,Tweet,1,1,photo
FB,"Stock market rally pauses; Datadog flies; AMD, Facebook near buy points $DDOG $AMD $FB Watch Stock Market Today here: https://t.co/RtFTSkLsGp https://t.co/GtZPwko7NZ",Investors.com,12/05/2020,3,en,Tweet,0,0,photo
FB,RT @IBD_ECarson : Is the coronavirus stock market rally divorced from economic reality? Futures extend Tuesday's sell-off. https://t.co/6BO6amRlPG $MSFT $AMD $NOW $AAPL $GOOGL $FB $AMZN $NFLX $SHOP https://t.co/Ilv5ZOvYwf,Investors.com,12/05/2020,0,en,Retweet,0,0,photo
FB,"RT @keachhagey : TV advertisers are trying to claw back more than $1 billion in Q3 ad commitments. Some, like Chipotle, have moved TV spend to Facebook. Great story from @VranicaWSJ https://t.co/QmLe1xBAgM via @WSJ",WSJ Markets,13/05/2020,0,en,Retweet,0,2,
FB,"RT @IBD_ECarson : Futures rise on solid news from Cisco, Mastercard after coronavirus market rally sick day https://t.co/Ry4FmENzso $CSCO $MA $V $AAPL $TSLA $NOW $GOOGL $FB https://t.co/mzBm3xH34V",Investors.com,13/05/2020,0,en,Retweet,0,0,photo
FB,RT @IBD_ECarson : Dow Jones Futures Signal Another Coronavirus Stock Market Rally Sick Day On Jobless Claims https://t.co/Ry4FmF5ajW $CSCO $MA $TSLA $AAPL $NOW $FB $GOOGL https://t.co/jQeRB447c0,Investors.com,14/05/2020,0,en,Retweet,0,0,animated_gif
FB,Facebook $FB breakout stats https://t.co/RCsJ7Xm4aU,Top Breakout Stocks,14/05/2020,1,en,Tweet,0,0,
FB,Silicon Valley giants such as Facebook and Google lure employees with lavish campuses. Now those headquarters are like a carnival out of season. https://t.co/45eUygnnBD,WSJ Markets,15/05/2020,1,en,Tweet,0,0,
FB,"Q1 13F Roundup: How Buffett, Einhorn, Ackman And Others Adjusted Their Portfolios $DIS $NFLX $FB $GS $JPM $SPY $XLU https://t.co/dsW5Tpbx9D",Benzinga,16/05/2020,3,en,Tweet,0,0,
FB,"In its continued efforts to diversify from oil, Saudi Arabia’s Public Investment Fund in the first quarter bought shares in Facebook, Walt Disney, Marriott International and Cisco Systems https://t.co/LO6DF3fWCm",WSJ Markets,17/05/2020,8,en,Tweet,0,0,
FB,"RT @IBD_ECarson : Tech titan just below new buy point, but DOJ antitrust action looms; The ultimate Tesla debate https://t.co/oNEPicyq22 $GOOGL $TSLA $AMD $AAPL $FB https://t.co/ah3AJb124n",Investors.com,17/05/2020,0,en,Retweet,0,0,photo
FB,"RT @IBD_ECarson : Three big techs just forged new buy points. Futures not far from fair value. $AAPL $GOOGL $AMD $TSLA $FB
 https://t.co/oNEPicgODs https://t.co/fjf4n4dyqE",Investors.com,17/05/2020,0,en,Retweet,0,0,animated_gif
